Date,Close,High,Low,Open,Volume
12/12/1980,0.098484829,0.098913,0.098484829,0.098484829,469033600
12/15/1980,0.093346871,0.093775043,0.093346871,0.093775043,175884800
12/16/1980,0.086495377,0.086923543,0.086495377,0.086923543,105728000
12/17/1980,0.088636287,0.089064458,0.088636287,0.088636287,86441600
12/18/1980,0.091206022,0.091634187,0.091206022,0.091206022,73449600
12/19/1980,0.096772164,0.097200335,0.096772164,0.096772164,48630400
12/22/1980,0.101482034,0.101910971,0.101482034,0.101482034,37363200
12/23/1980,0.105764478,0.10619265,0.105764478,0.105764478,46950400
12/24/1980,0.111330643,0.111758814,0.111330643,0.111330643,48003200
12/26/1980,0.12160743,0.122035601,0.12160743,0.12160743,55574400
12/29/1980,0.123320185,0.123748356,0.123320185,0.123320185,93161600
12/30/1980,0.120322965,0.120751125,0.120322965,0.120751125,68880000
12/31/1980,0.11689765,0.117325821,0.11689765,0.117325821,35750400
1/2/1981,0.118182115,0.119038458,0.118182115,0.118182115,21660800
1/5/1981,0.115613125,0.116041285,0.115613125,0.116041285,35728000
1/6/1981,0.110474296,0.110902467,0.110474296,0.110902467,45158400
1/7/1981,0.105764478,0.10619265,0.105764478,0.10619265,55686400
1/8/1981,0.103623658,0.104051818,0.103623658,0.104051818,39827200
1/9/1981,0.109189875,0.109618047,0.109189875,0.109189875,21504000
1/12/1981,0.108333506,0.109189837,0.108333506,0.109189837,23699200
1/13/1981,0.104480013,0.104908185,0.104480013,0.104908185,23049600
1/14/1981,0.104908183,0.105336355,0.104908183,0.104908183,14291200
1/15/1981,0.107048973,0.107905304,0.107048973,0.107048973,14067200
1/16/1981,0.106192678,0.10662085,0.106192678,0.10662085,13395200
1/19/1981,0.11261522,0.113043392,0.11261522,0.11261522,41574400
1/20/1981,0.109189875,0.109618047,0.109189875,0.109618047,30083200
1/21/1981,0.111330643,0.112186974,0.111330643,0.111330643,15904000
1/22/1981,0.11261522,0.113471563,0.11261522,0.11261522,35548800
